,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:
0,1024,0.0001,32,CLIP,11201.0,21538,0.41601256,0.760977931302605,0.7901462830432772,25212.279296875,192.4007568359375,0.6692766547203064,0.0122641958296298,0.0027399170212447,56426.97265625,25687.28125,10406.7373046875,2033.0028076171875,32311.33203125
1,1024,0.0001,32,CONTROL,,21538,,,0.7856842815551985,,,,,,,,,,
2,1024,0.0001,32,GMC,519968.0,198658,0.65877664,0.7789019052321827,0.8328793874299809,781.8788452148438,249.3548889160156,0.0735508725047111,0.0087593486532568,0.0037921720650047,4559.75634765625,3370.462646484375,703.04150390625,916.0626831054688,21296.224609375
3,1024,0.0001,32,ICEH,204833.0,215170,0.6276643,0.7856708754415639,0.7991820036330568,341.5651550292969,150.25416564941406,0.0566998608410358,0.0052986443042755,0.0031738514080643,26119.607421875,6271.78955078125,2910.23388671875,1015.490234375,37809.703125
4,1024,0.0001,32,MCN,14464.0,21538,0.4224125,0.7647573381714508,0.7931626586110819,2372.466796875,381.1447448730469,3.313771247863769,0.117120511829853,0.0489005558192729,3810.12255859375,3121.553466796875,4353.10986328125,1431.104736328125,37277.953125
5,1024,0.0001,32,SCARF,22528.0,21538,0.5948165,0.7520986153718967,0.7842431243394696,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,15360.0,21538,0.44382623,0.7678273381937943,0.7788929678230929,,,,,,,,,,
7,1024,0.0001,64,CLIP,42881.0,84034,0.39325982,0.7632938374329974,0.799168597519422,17119.400390625,347.8659362792969,0.0364542752504348,0.0021760996896773,0.001110621728003,28916.056640625,16571.806640625,7570.57958984375,1186.032470703125,28200.2734375
8,1024,0.0001,64,CONTROL,,84034,,,0.7968929097299338,,,,,,,,,,
9,1024,0.0001,64,GMC,524096.0,233602,0.64494866,0.7796872800559482,0.8335575133446689,862.4076538085938,274.34100341796875,0.0795333310961723,0.0092273028567433,0.0039646103978157,4280.79052734375,3809.61376953125,875.7075805664062,902.6417236328124,19143.07421875
10,1024,0.0001,64,ICEH,208961.0,250114,0.66138834,0.7782639976583988,0.8313220438960847,533.4075927734375,122.49018096923828,0.1012809351086616,0.005848582368344,0.003555936506018,32666.4140625,6261.22509765625,2833.9765625,928.1041259765624,25035.59375
11,1024,0.0001,64,MCN,49408.0,84034,0.42469403,0.7654399327906837,0.7947334082586128,2224.527099609375,332.7054443359375,2.506659030914306,0.1540289968252182,0.0472455359995365,4380.13037109375,2908.592041015625,576.6193237304688,1332.149658203125,39320.37109375
12,1024,0.0001,64,SCARF,88064.0,84034,0.56863916,0.76398536946132,0.7976782845536993,,,,,,,,,,
13,1024,0.0001,64,SUBTAB,59392.0,84034,0.31223276,0.7654846198361326,0.793247563997435,,,,,,,,,,
14,1024,0.0001,128,CLIP,167681.0,331906,0.42267114,0.7623654640637952,0.8021268799281432,1007.0844116210938,150.1366729736328,0.041651964187622,0.0012836809037253,0.001010826206766,22397.921875,9759.1513671875,5337.40576171875,1206.4781494140625,27850.96484375
15,1024,0.0001,128,CONTROL,,331906,,,0.7931939395428962,,,,,,,,,,
16,1024,0.0001,128,GMC,532352.0,364930,0.6773431,0.772199965590975,0.8484919239337112,796.5108032226562,295.2193603515625,0.0845128893852233,0.009787299670279,0.0041065863333642,3838.121826171875,4189.50341796875,715.1296997070312,958.4864501953124,25518.763671875
17,1024,0.0001,128,ICEH,217217.0,381442,0.59891474,0.7827796236010163,0.8298361996349068,399.4891052246094,78.4015884399414,0.1133539751172065,0.0062084281817078,0.0027123207692056,27222.1015625,4970.36328125,3187.847412109375,1239.128173828125,26485.267578125
18,1024,0.0001,128,MCN,180736.0,331906,0.41172287,0.7677424328074413,0.7879376258219624,3224.21826171875,1514.4921875,0.5052861571311951,0.1533509790897369,0.0489005558192729,3787.992919921875,2930.2353515625,578.9614868164062,2728.964599609375,50916.12890625
19,1024,0.0001,128,SCARF,348160.0,331906,0.58257794,0.7609689938935152,0.7977631899400524,,,,,,,,,,
20,1024,0.0001,128,SUBTAB,233472.0,331906,0.40762916,0.761870555035448,0.790958470094312,,,,,,,,,,
21,1024,0.0002,32,CLIP,11201.0,21538,0.43543467,0.7662878694780777,0.802180504382682,16508.296875,2989.887939453125,0.0436037071049213,0.0027412690687924,0.0010466682724654,41625.359375,12363.5224609375,5537.4130859375,1938.5941162109373,30953.884765625
22,1024,0.0002,32,CONTROL,,21538,,,0.7932341578838003,,,,,,,,,,
23,1024,0.0002,32,GMC,519968.0,198658,0.6619475,0.7773847800391905,0.8350925133558407,723.399658203125,186.2027282714844,0.0659959912300109,0.0074635995551943,0.0033134487457573,4797.3291015625,4068.380859375,734.0335693359375,945.5792236328124,7916.1416015625
24,1024,0.0002,32,ICEH,204833.0,215170,0.6131711,0.7984055662183811,0.8380776079918313,382.4128112792969,57.287899017333984,0.0661677345633506,0.0085970601066946,0.0059092561714351,17060.849609375,5269.892578125,2351.2509765625,966.1751708984376,25813.134765625
25,1024,0.0002,32,MCN,14464.0,21538,0.4588238,0.780499467106983,0.7969063158435685,3375.624267578125,733.8953247070312,1.256880283355713,0.1535898447036743,0.0282380077987909,23088.6171875,2953.3466796875,570.1932983398438,2304.25244140625,36424.2109375
26,1024,0.0002,32,SCARF,22528.0,21538,0.58298326,0.7661716831599104,0.7984457845592852,,,,,,,,,,
27,1024,0.0002,32,SUBTAB,15360.0,21538,0.464287,0.7663459626371614,0.7909629387988568,,,,,,,,,,
28,1024,0.0002,64,CLIP,42881.0,84034,0.37271395,0.7751090922497023,0.8074904425581546,1259.4005126953125,140.30311584472656,0.0420244373381137,0.0016751333605498,0.0008361568325199,26957.630859375,9853.513671875,6171.28173828125,1834.1026611328125,29129.70703125
29,1024,0.0002,64,CONTROL,,84034,,,0.7932520327019799,,,,,,,,,,
30,1024,0.0002,64,GMC,524096.0,233602,0.63316494,0.7654667450179531,0.8253473859195588,612.678466796875,208.797119140625,0.0695521757006645,0.0085420459508895,0.0035968490410596,4287.71630859375,3945.733642578125,656.5563354492188,889.4826049804688,5840.0458984375
31,1024,0.0002,64,ICEH,208961.0,250114,0.49970138,0.7901730952705466,0.839567920957554,303.3564453125,58.21677780151367,0.0704707130789756,0.0052947802469134,0.0027551939710974,11575.021484375,5716.109375,2021.0836181640625,783.72998046875,29312.63671875
32,1024,0.0002,64,MCN,49408.0,84034,0.43059546,0.7677424328074413,0.7887051258275481,1873.62158203125,374.2208862304688,1.934223771095276,0.1232222765684127,0.0489005558192729,3481.58154296875,3053.94482421875,558.254150390625,1340.7579345703125,25840.341796875
33,1024,0.0002,64,SCARF,88064.0,84034,0.5930663,0.7447006749978216,0.7895664686285769,,,,,,,,,,
34,1024,0.0002,64,SUBTAB,59392.0,84034,0.4236667,0.769366806909511,0.8074591616263402,,,,,,,,,,
35,1024,0.0002,128,CLIP,167681.0,331906,0.35375398,0.7610270870525989,0.8059599112515277,822.906005859375,61.32569885253906,0.03870864585042,0.0011565376771613,0.00064017099794,26561.904296875,6378.62744140625,1969.31884765625,1151.401123046875,25845.93359375
36,1024,0.0002,128,CONTROL,,331906,,,0.7895575312194871,,,,,,,,,,
37,1024,0.0002,128,GMC,532352.0,364930,0.67938834,0.7691031533413621,0.8492102681893032,949.6820068359376,252.6604766845703,0.0799911245703697,0.0089815547689795,0.0039316560141742,3716.345458984375,3892.03662109375,850.919677734375,926.9619750976562,14223.041015625
38,1024,0.0002,128,ICEH,217217.0,381442,0.6082132,0.7784204023174701,0.8387780774292437,616.9998779296875,67.5513916015625,0.1575860381126403,0.0053301472216844,0.0028868895024061,23265.75,5038.033203125,3832.455078125,924.8877563476562,21451.333984375
39,1024,0.0002,128,MCN,180736.0,331906,0.43647116,0.7669704640973105,0.7902401258387199,4215.1875,732.0629272460938,2.772326946258545,0.1016999259591102,0.0315485410392284,3731.5126953125,2863.351318359375,590.6113891601562,1447.06982421875,39218.2734375
40,1024,0.0002,128,SCARF,348160.0,331906,0.5657072,0.7700583389378337,0.8021849730872269,,,,,,,,,,
41,1024,0.0002,128,SUBTAB,233472.0,331906,0.3136636,0.7587826801949249,0.7909942197306712,,,,,,,,,,
42,1024,0.0003,32,CLIP,11201.0,21538,0.35195655,0.7670196198473044,0.8006320982578755,6171.79931640625,289.6405334472656,0.0478934757411479,0.0021998283918946,0.0010450503323227,37848.921875,18291.365234375,9011.4267578125,1787.4984130859375,28347.337890625
43,1024,0.0003,32,CONTROL,,21538,,,0.7984234410365607,,,,,,,,,,
44,1024,0.0003,32,GMC,519968.0,198658,0.67285603,0.7736947472612428,0.833553044640124,727.84912109375,212.82041931152344,0.0597851984202861,0.0076977736316621,0.003299944801256,4589.8125,3784.40673828125,916.9474487304688,931.767333984375,12021.9375
45,1024,0.0003,32,ICEH,204833.0,215170,0.6362265,0.7765859991017904,0.8267751370216532,220.42361450195312,77.54509735107422,0.0635459572076797,0.0112581234425306,0.0030787489376962,19982.28515625,4673.5263671875,955.7823486328124,1001.1761474609376,13979.1240234375
46,1024,0.0003,32,MCN,14464.0,21538,0.40311897,0.7634055550466198,0.7969018471390237,3479.7138671875,470.24322509765625,0.8446131348609924,0.1345263868570327,0.0470739305019378,3760.705322265625,3831.154541015625,581.1024780273438,3408.06884765625,45189.5546875
47,1024,0.0003,32,SCARF,22528.0,21538,0.6028179,0.7669257770518616,0.8006633791896898,,,,,,,,,,
48,1024,0.0003,32,SUBTAB,15360.0,21538,0.47282872,0.7610047435298744,0.7871522509981969,,,,,,,,,,
49,1024,0.0003,64,CLIP,42881.0,84034,0.36271214,0.7683714029721354,0.8007706280987673,886.8262329101562,120.3632583618164,0.0537080205976963,0.0012343005510047,0.0006547402008436,25331.794921875,8406.2783203125,5084.48486328125,1477.42333984375,27535.828125
50,1024,0.0003,64,CONTROL,,84034,,,0.7932520327019799,,,,,,,,,,
51,1024,0.0003,64,GMC,524096.0,233602,0.67907816,0.7631999946375545,0.8364934522306656,570.0011596679688,220.31558227539065,0.0597441345453262,0.0070716924965381,0.0031968257389962,5303.24658203125,3318.9384765625,909.4313354492188,886.7978515625,8271.9462890625
52,1024,0.0003,64,ICEH,208961.0,250114,0.6449323,0.7947110647358884,0.8403086087358705,569.761962890625,54.40464401245117,0.1388192325830459,0.0085423961281776,0.0038507075514644,22269.494140625,6183.150390625,1631.1453857421875,1121.5185546875,16676.70703125
53,1024,0.0003,64,MCN,49408.0,84034,0.4406258,0.7736902785566978,0.7932252204747106,3785.560546875,413.2167053222656,1.69959819316864,0.1540289968252182,0.0489005558192729,3868.078125,4067.308837890625,559.2415771484375,1414.222900390625,39306.53125
54,1024,0.0003,64,SCARF,88064.0,84034,0.59623164,0.7588720542858227,0.7954562212187498,,,,,,,,,,
55,1024,0.0003,64,SUBTAB,59392.0,84034,0.3999132,0.7661940266826348,0.7864830624925987,,,,,,,,,,
56,1024,0.0003,128,CLIP,167681.0,331906,0.37379655,0.7750733426133432,0.8358332011341572,791.3991088867188,93.96952056884766,0.0378125421702861,0.0011763580841943,0.0007126526325009,25852.890625,5972.650390625,2065.11328125,1087.794677734375,23996.8203125
57,1024,0.0003,128,CONTROL,,331906,,,0.7947468143722476,,,,,,,,,,
58,1024,0.0003,128,GMC,532352.0,364930,0.66260123,0.7654712137224979,0.8573712398644195,797.9240112304688,237.4183349609375,0.0770376250147819,0.008919833227992,0.0037706790026277,4036.77197265625,3055.886962890625,879.7122802734375,934.2967529296876,12320.19140625
59,1024,0.0003,128,ICEH,217217.0,381442,0.6386189,0.7886872510093687,0.8410716400369115,589.6876220703125,212.6483612060547,0.1884653866291046,0.0054889381863176,0.0022563631646335,15812.0380859375,5786.78125,3049.047607421875,888.9846801757812,14362.265625
60,1024,0.0003,128,MCN,180736.0,331906,0.42196476,0.764708182421457,0.7961120036107132,2795.840576171875,439.7391662597656,1.9050390720367432,0.1478359997272491,0.044903352856636,3834.649658203125,2856.7646484375,575.4881591796875,1477.20556640625,33511.67578125
61,1024,0.0003,128,SCARF,348160.0,331906,0.5842089,0.7602417122288334,0.794594878417721,,,,,,,,,,
62,1024,0.0003,128,SUBTAB,233472.0,331906,0.32552993,0.7699868396651153,0.8066380371662156,,,,,,,,,,
63,1024,0.0005,32,CLIP,11201.0,21538,0.32880723,0.7533520869967401,0.8193146347839493,998.7438354492188,133.20501708984375,0.0500220693647861,0.0014289116952568,0.0011855597840622,36665.59375,10371.603515625,5458.8603515625,1815.71044921875,27690.86328125
64,1024,0.0005,32,CONTROL,,21538,,,0.7887766251002666,,,,,,,,,,
65,1024,0.0005,32,GMC,519968.0,198658,0.6974671,0.7573281168655612,0.8410627026278217,567.6321411132812,214.3177490234375,0.0579247064888477,0.0068873916752636,0.002847048221156,5793.4609375,4034.86474609375,958.2440185546876,787.7286987304688,24639.630859375
66,1024,0.0005,32,ICEH,204833.0,215170,0.60444844,0.7886961884184585,0.8358287324296123,307.3904113769531,55.60261535644531,0.0858150050044059,0.0038142590783536,0.001746569876559,12546.73046875,3449.225341796875,1687.001220703125,1490.5830078125,13363.6640625
67,1024,0.0005,32,MCN,14464.0,21538,0.46140298,0.7610092122344193,0.7938988776848536,800.9905395507812,429.409423828125,3.4365575313568115,0.1540289968252182,0.0489005558192729,3807.962158203125,2960.69091796875,652.2385864257812,1802.8323974609373,43856.9921875
68,1024,0.0005,32,SCARF,22528.0,21538,0.55040914,0.757211930547394,0.790155220452367,,,,,,,,,,
69,1024,0.0005,32,SUBTAB,15360.0,21538,0.41474247,0.7729317159602017,0.7828734663964589,,,,,,,,,,
70,1024,0.0005,64,CLIP,42881.0,84034,0.37415022,0.7632849000239076,0.835752764452349,891.8214721679688,105.71129608154295,0.0483352020382881,0.0014424932887777,0.0006945794448256,28803.220703125,7852.89013671875,4284.68701171875,1370.91796875,24129.63671875
71,1024,0.0005,64,CONTROL,,84034,,,0.7834756243338837,,,,,,,,,,
72,1024,0.0005,64,GMC,524096.0,233602,0.6820426,0.7736455915112488,0.8365738889124736,499.51025390625,187.7183837890625,0.0576712600886821,0.0064231664873659,0.0027044638991355,4558.6943359375,5157.328125,772.8489990234375,829.4525146484375,9680.9541015625
73,1024,0.0005,64,ICEH,208961.0,250114,0.6734358,0.7843235610212778,0.8395142965030153,309.5939636230469,85.92356872558594,0.1199000999331474,0.0048684943467378,0.0028637261129915,12503.107421875,5878.630859375,2679.296875,1340.770263671875,16754.1015625
74,1024,0.0005,64,MCN,49408.0,84034,0.41242194,0.7534906168376319,0.8238257920220218,3403.3486328125,593.7760620117188,3.422786235809326,0.1524823158979416,0.048167485743761,3806.9521484375,2863.622314453125,583.93603515625,999.0394287109376,41075.7578125
75,1024,0.0005,64,SCARF,88064.0,84034,0.5501286,0.7498229275824084,0.7842475930440145,,,,,,,,,,
76,1024,0.0005,64,SUBTAB,59392.0,84034,0.40420693,0.756623178723604,0.7910255006624854,,,,,,,,,,
77,1024,0.0005,128,CLIP,167681.0,331906,0.42158395,0.7782103732038601,0.815642476824181,855.924560546875,92.15470886230467,0.0372493602335453,0.0011673463741317,0.0008161403820849,24883.779296875,4432.20166015625,1346.4276123046875,1318.7010498046875,21722.9296875
78,1024,0.0005,128,CONTROL,,331906,,,0.7894279387876852,,,,,,,,,,
79,1024,0.0005,128,GMC,532352.0,364930,0.7042549,0.7482745214576021,0.8268957920443654,587.0210571289062,213.31195068359372,0.058023028075695,0.0074150273576378,0.0032220848370343,6966.02685546875,4423.5146484375,934.31298828125,779.3720092773438,13979.1875
80,1024,0.0005,128,ICEH,217217.0,381442,0.6160161,0.8000433464340855,0.835079107242206,306.27691650390625,109.505126953125,0.1205271109938621,0.0043115061707794,0.0021887158509343,11965.5234375,3841.218994140625,1874.29296875,1073.038818359375,21989.029296875
81,1024,0.0005,128,MCN,180736.0,331906,0.41849452,0.76860377560847,0.8194218836930268,2314.0673828125,479.7587585449219,0.8452402949333191,0.1463125944137573,0.0487642623484134,3771.56884765625,2844.789306640625,603.5214233398438,880.4728393554688,41790.69921875
82,1024,0.0005,128,SCARF,348160.0,331906,0.5767416,0.762419088518334,0.8022341288372208,,,,,,,,,,
83,1024,0.0005,128,SUBTAB,233472.0,331906,0.419367,0.7626112428137646,0.811238568495186,,,,,,,,,,
84,1024,0.0007,32,CLIP,11201.0,21538,0.41872042,0.7662342450235389,0.8171372584944487,961.110595703125,108.56885528564452,0.0457232519984245,0.0014719601022079,0.0015629907138645,40039.25390625,11510.080078125,3595.5625,1297.897705078125,23023.203125
85,1024,0.0007,32,CONTROL,,21538,,,0.7803922181979055,,,,,,,,,,
86,1024,0.0007,32,GMC,519968.0,198658,0.669288,0.764659026671463,0.844645486496692,550.9878540039062,202.43186950683597,0.0582583360373973,0.0065124351531267,0.0028806370683014,5207.08349609375,4124.69775390625,903.0712280273438,929.0158081054688,10666.822265625
87,1024,0.0007,32,ICEH,204833.0,215170,0.62487125,0.7798347473059297,0.8469971422634435,148.49127197265625,80.92562866210938,0.1273445188999176,0.0089840954169631,0.0036572313401848,8641.556640625,3538.927490234375,1990.4088134765625,1067.802734375,8906.904296875
88,1024,0.0007,32,MCN,14464.0,21538,0.41919875,0.7648601183759833,0.7961924402925215,4210.67822265625,723.423828125,0.7365639805793762,0.0452342107892036,0.0453923679888248,3771.3701171875,2946.72216796875,574.2361450195312,1391.0543212890625,46731.55859375
89,1024,0.0007,32,SCARF,22528.0,21538,0.5858431,0.7549496488715404,0.81106875772248,,,,,,,,,,
90,1024,0.0007,32,SUBTAB,15360.0,21538,0.43406108,0.7662342450235389,0.8111357882906535,,,,,,,,,,
91,1024,0.0007,64,CLIP,42881.0,84034,0.40142205,0.7834398746975246,0.8373637324407841,863.018798828125,91.78429412841795,0.0409797057509422,0.0012739705853164,0.0005900665419176,22375.58203125,5702.296875,1862.6640625,1568.2579345703125,17812.8125
92,1024,0.0007,64,CONTROL,,84034,,,0.8104040379214268,,,,,,,,,,
93,1024,0.0007,64,GMC,524096.0,233602,0.6469018,0.7728378731647589,0.8432400789173222,601.2680053710938,165.2114715576172,0.0522915497422218,0.0058595077134668,0.0026946261059492,5060.76416015625,4079.863037109375,920.5684814453124,945.7404174804688,8436.3623046875
94,1024,0.0007,64,ICEH,208961.0,250114,0.638659,0.7902267197250853,0.8439986415138183,277.3545227050781,72.11540985107422,0.179600179195404,0.007333371322602,0.0037546809762716,15179.8212890625,4826.13916015625,2258.749755859375,998.1321411132812,11044.9833984375
95,1024,0.0007,64,MCN,49408.0,84034,0.44680548,0.7685903694948353,0.8170076660626469,1706.422607421875,327.17529296875,3.469393014907837,0.1540289968252182,0.0489005558192729,3854.093505859375,13937.6962890625,671.8970336914062,1098.62255859375,40747.375
96,1024,0.0007,64,SCARF,88064.0,84034,0.2995688,0.7631865885239199,0.805143255495948,,,,,,,,,,
97,1024,0.0007,64,SUBTAB,59392.0,84034,0.39223605,0.7729674655965608,0.811961381455323,,,,,,,,,,
98,1024,0.0007,128,CLIP,167681.0,331906,0.40045732,0.7737304968976019,0.8290999805611352,1091.671630859375,115.88175201416016,0.0426342859864234,0.0012486787745729,0.0006247090641409,27603.3828125,7324.2548828125,1950.04931640625,1399.439697265625,24933.19921875
99,1024,0.0007,128,CONTROL,,331906,,,0.8021402860417779,,,,,,,,,,
100,1024,0.0007,128,GMC,532352.0,364930,0.70410395,0.7573459916837408,0.8522668620980121,527.3672485351562,208.4896240234375,0.0576750263571739,0.0073529374785721,0.0031073025893419,7086.46728515625,4405.060546875,905.5961303710938,843.6297607421875,12550.1435546875
101,1024,0.0007,128,ICEH,217217.0,381442,0.5965886,0.791551690622647,0.8425440781844548,233.6855316162109,120.69834899902344,0.1040826514363288,0.0055147064849734,0.002307376358658,21801.005859375,4286.16064453125,2311.54345703125,1340.444091796875,11958.8154296875
102,1024,0.0007,128,MCN,180736.0,331906,0.56563157,0.7744399037441041,0.7865634991744068,2282.8251953125,434.6264343261719,0.2622294723987579,0.0700943171977996,0.0166184734553098,4031.54296875,2991.876953125,578.11865234375,866.3695068359375,7767.37353515625
103,1024,0.0007,128,SCARF,348160.0,331906,0.64495397,0.7572566175928429,0.8028765051155495,,,,,,,,,,
104,1024,0.0007,128,SUBTAB,233472.0,331906,0.3856318,0.770803495420695,0.8313354500097194,,,,,,,,,,
105,1024,0.001,32,CLIP,11201.0,21538,0.40227917,0.775077811317888,0.8334592018446813,1338.2845458984375,68.94689178466797,0.053712498396635,0.0012741979444399,0.0009124755742959,27846.5390625,6115.2314453125,2242.265380859375,1444.771728515625,17455.443359375
106,1024,0.001,32,CONTROL,,21538,,,0.7894234700831402,,,,,,,,,,
107,1024,0.001,32,GMC,519968.0,198658,0.6720064,0.7624548381546932,0.845453204843182,551.5062255859375,167.38565063476562,0.0530904494225978,0.006643355358392,0.0028579398058354,4109.4013671875,5127.98583984375,1078.293701171875,958.0520629882812,9864.1162109375
108,1024,0.001,32,ICEH,204833.0,215170,0.5485499,0.7871611884072867,0.867682677290267,172.51731872558594,49.08029556274414,0.0664156675338745,0.0046012392267584,0.0021524671465158,11162.654296875,4881.2958984375,2087.849853515625,1828.1470947265625,31127.099609375
109,1024,0.001,32,MCN,14464.0,21538,0.41658214,0.7624771816774176,0.7962013777016113,3914.528564453125,737.731689453125,1.0605791807174685,0.1540289968252182,0.0489005558192729,3797.205322265625,5527.2705078125,578.9025268554688,4271.4912109375,54662.8515625
110,1024,0.001,32,SCARF,22528.0,21538,0.60885423,0.77139671594903,0.8088243508648061,,,,,,,,,,
111,1024,0.001,32,SUBTAB,15360.0,21538,0.557882,0.7804503113569892,0.8036127241893212,,,,,,,,,,
112,1024,0.001,64,CLIP,42881.0,84034,0.43356574,0.7767155915335924,0.825383135555918,698.9646606445312,97.68113708496094,0.0499896332621574,0.0012258507777005,0.000802949653007,25979.39453125,5023.86669921875,1331.8720703125,1286.8560791015625,23020.65625
113,1024,0.001,64,CONTROL,,84034,,,0.797772127349142,,,,,,,,,,
114,1024,0.001,64,GMC,524096.0,233602,0.69737536,0.7646143396260141,0.8461849552124088,562.6439819335938,170.2334747314453,0.062819167971611,0.0060608037747442,0.0027895171660929,5042.263671875,4468.771484375,911.1900024414062,880.9152221679688,14808.044921875
